Group,Fly Number,Bin Length,24-hour bin, 1st 12-hour bin, 2nd 12-hour bin
ALAN,Fly 1,12/24 Default,-418.6667,34.1111,-481
ALAN,Fly 2,12/24 Default,-512.6667,-288,-241.5556
ALAN,Fly 3,12/24 Default,-2400,-2400,0
ALAN,Fly 4,12/24 Default,-286.4444,408.8889,-707.7778
ALAN,Fly 5,12/24 Default,-374.7778,304.5556,-707.5556
ALAN,Fly 6,12/24 Default,-452.5556,165,-644.1111
ALAN,Fly 7,12/24 Default,-494.3333,56.1111,-569.1111
ALAN,Average,12/24 Default,-705.6349,-245.619,-478.7302
ALAN,SEM,12/24 Default,283.8655,368.7858,100.6861
Day,Fly 1,12/24 Default,-2400,-2400,0
Day,Fly 2,12/24 Default,-2400,-2400,0
Day,Fly 3,12/24 Default,-97.5556,445.5556,-557.5556
Day,Fly 4,12/24 Default,-788.8889,-643.6667,-229.5556
Day,Fly 5,12/24 Default,-494.3333,56.1111,-569.1111
Day,Fly 6,12/24 Default,-494.3333,56.1111,-569.1111
Day,Average,12/24 Default,-1112.5185,-814.3148,-320.8889
Day,SEM,12/24 Default,416.9096,521.5513,114.531
Night,Fly 1,12/24 Default,-2400,-2400,0
Night,Fly 2,12/24 Default,-494.3333,56.1111,-569.1111
Night,Fly 3,12/24 Default,-494.3333,56.1111,-569.1111
Night,Fly 4,12/24 Default,-494.3333,56.1111,-569.1111
Night,Fly 5,12/24 Default,-494.3333,56.1111,-569.1111
Night,Average,12/24 Default,-875.4667,-435.1111,-455.2889
Night,SEM,12/24 Default,381.1333,491.2222,113.8222
