Group,Fly Number,Bin Length,24-hour bin, 1st 12-hour bin, 2nd 12-hour bin
ALAN,Fly 1,12/24 Default,10.4444,10.4444,0
ALAN,Fly 2,12/24 Default,13.2222,13.2222,0
ALAN,Fly 3,12/24 Default,0,0,0
ALAN,Fly 4,12/24 Default,10,9.6667,0.33333
ALAN,Fly 5,12/24 Default,14.3333,13.7778,0.55556
ALAN,Fly 6,12/24 Default,15.7778,15.4444,0.33333
ALAN,Fly 7,12/24 Default,13.5556,13.5556,0
ALAN,Average,12/24 Default,11.0476,10.873,0.1746
ALAN,SEM,12/24 Default,1.9982,1.9634,0.08694
Day,Fly 1,12/24 Default,0,0,0
Day,Fly 2,12/24 Default,0,0,0
Day,Fly 3,12/24 Default,15.3333,14.8889,0.44444
Day,Fly 4,12/24 Default,14.3333,14,0.33333
Day,Fly 5,12/24 Default,13.5556,13.5556,0
Day,Fly 6,12/24 Default,13.5556,13.5556,0
Day,Average,12/24 Default,9.463,9.3333,0.12963
Day,SEM,12/24 Default,3.0043,2.9581,0.08323
Night,Fly 1,12/24 Default,0,0,0
Night,Fly 2,12/24 Default,13.5556,13.5556,0
Night,Fly 3,12/24 Default,13.5556,13.5556,0
Night,Fly 4,12/24 Default,13.5556,13.5556,0
Night,Fly 5,12/24 Default,13.5556,13.5556,0
Night,Average,12/24 Default,10.8444,10.8444,0
Night,SEM,12/24 Default,2.7111,2.7111,0
