Group,Fly Number,Bin Length,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Bin 18,Bin 19,Bin 20,Bin 21,Bin 22,Bin 23,Bin 24,Bin 25,Bin 26,Bin 27,Bin 28,Bin 29,Bin 30,Bin 31,Bin 32,Bin 33,Bin 34,Bin 35,Bin 36,Bin 37,Bin 38,Bin 39,Bin 40,Bin 41,Bin 42,Bin 43,Bin 44,Bin 45,Bin 46,Bin 47,Bin 48
ALAN,Fly 1,30 min,163.4444,445.2222,491.3333,532.6667,499.6667,520,465.2222,481,466.8889,482.2222,432,462.6667,470.5556,397.7778,375.6667,389.2222,356.6667,307.8889,267.1111,149.5556,36.7778,70.8889,28.1111,27.5556,2.5556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAN,Fly 2,30 min,80.7778,174.3333,188.3333,214.5556,209.4444,132.6667,181.6667,167.6667,118.7778,152.8889,137.6667,130.6667,131.6667,114.8889,98.3333,95.7778,85.1111,87.8889,72.6667,35.8889,35.3333,179.1111,25.3333,19.6667,1.4444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAN,Fly 3,30 min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAN,Fly 4,30 min,46.2222,132.2222,143.4444,194,213.1111,294.8889,306.3333,275.5556,299.3333,319.2222,314.7778,306.1111,307.5556,282.7778,315.7778,318.7778,323.1111,310.1111,314,302.4444,286,326.7778,224.4444,276.7778,23.8889,0,0.11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAN,Fly 5,30 min,71.6667,130,257.6667,330,323.3333,361.8889,349.7778,369.4444,355.7778,321.2222,348.1111,351.8889,278.4444,166.1111,212,108.7778,122,95,77.7778,40.6667,80.4444,246.6667,77.7778,157.2222,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88889,0.44444
ALAN,Fly 6,30 min,3.7778,62.8889,201.6667,276,271.6667,320.5556,335.8889,309.1111,273.5556,215.6667,277,162.3333,261.8889,196.1111,69.6667,104.3333,72.6667,59.8889,21.4444,11.7778,23.5556,207.8889,63.2222,124.6667,15.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAN,Fly 7,30 min,21.5556,92,138.4444,135.7778,140,138.1111,134.7778,133.1111,124.6667,127.4444,129.3333,114.6667,128.5556,108.7778,103.7778,91.5556,91.3333,77.4444,74,62.6667,76.7778,199.7778,46.6667,32.6667,2.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAN,Average,30 min,55.3492,148.0952,202.9841,240.4286,236.746,252.5873,253.381,247.9841,234.1429,231.2381,234.127,218.3333,225.5238,180.9206,167.8889,158.3492,150.127,134.0317,118.1429,86.1429,76.9841,175.873,66.5079,91.2222,10.7619,0,0.015873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12698,0.063492
ALAN,SEM,30 min,21.5726,53.8718,56.7502,62.9199,58.667,65.6744,59.1994,60.6882,60.7269,59.6531,56.8185,60.647,57.728,48.8313,52.0465,52.9748,51.0824,46.6871,46.1638,40.5037,36.4601,41.2149,28.0596,38.0568,4.6352,0,0.015873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12698,0.063492
Day,Fly 1,30 min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Day,Fly 2,30 min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
