Group,Fly Number,Bin Length,24-hour bin, 1st 12-hour bin, 2nd 12-hour bin
ALAN,Fly 1,12/24 Default,8322.6667,8320.1111,2.5556
ALAN,Fly 2,12/24 Default,2872.5556,2871.1111,1.4444
ALAN,Fly 3,12/24 Default,0,0,0
ALAN,Fly 4,12/24 Default,6457.7778,6433.7778,24
ALAN,Fly 5,12/24 Default,5265,5233.6667,31.3333
ALAN,Fly 6,12/24 Default,3942.3333,3927.2222,15.1111
ALAN,Fly 7,12/24 Default,2526.2222,2523.8889,2.3333
ALAN,Average,12/24 Default,4198.0794,4187.1111,10.9683
ALAN,SEM,12/24 Default,1040.8121,1038.7961,4.7761
Day,Fly 1,12/24 Default,0,0,0
Day,Fly 2,12/24 Default,0,0,0
Day,Fly 3,12/24 Default,22417,12544.5556,9872.4444
Day,Fly 4,12/24 Default,195.2222,194.8889,0.33333
Day,Fly 5,12/24 Default,2526.2222,2523.8889,2.3333
Day,Fly 6,12/24 Default,2526.2222,2523.8889,2.3333
Day,Average,12/24 Default,4610.7778,2964.537,1646.2407
Day,SEM,12/24 Default,3595.2189,1978.3243,1645.2408
Night,Fly 1,12/24 Default,0,0,0
Night,Fly 2,12/24 Default,2526.2222,2523.8889,2.3333
Night,Fly 3,12/24 Default,2526.2222,2523.8889,2.3333
Night,Fly 4,12/24 Default,2526.2222,2523.8889,2.3333
Night,Fly 5,12/24 Default,2526.2222,2523.8889,2.3333
Night,Average,12/24 Default,2020.9778,2019.1111,1.8667
Night,SEM,12/24 Default,505.2444,504.7778,0.46667
