Group,Fly Number,Bin Length,24-hour bin, 1st 12-hour bin, 2nd 12-hour bin
ALAN,Fly 1,12/24 Default,560.2222,559.4444,0.77778
ALAN,Fly 2,12/24 Default,550.4444,549.6667,0.77778
ALAN,Fly 3,12/24 Default,0,0,0
ALAN,Fly 4,12/24 Default,660.4444,652.7778,7.6667
ALAN,Fly 5,12/24 Default,540.6667,533.8889,6.7778
ALAN,Fly 6,12/24 Default,500.1111,497.6667,2.4444
ALAN,Fly 7,12/24 Default,566.5556,565.7778,0.77778
ALAN,Average,12/24 Default,482.6349,479.8889,2.746
ALAN,SEM,12/24 Default,82.5034,81.9394,1.1924
Day,Fly 1,12/24 Default,0,0,0
Day,Fly 2,12/24 Default,0,0,0
Day,Fly 3,12/24 Default,756.8889,592.8889,164
Day,Fly 4,12/24 Default,61,60.6667,0.33333
Day,Fly 5,12/24 Default,566.5556,565.7778,0.77778
Day,Fly 6,12/24 Default,566.5556,565.7778,0.77778
Day,Average,12/24 Default,325.1667,297.5185,27.6481
Day,SEM,12/24 Default,139.5435,124.4057,27.2707
Night,Fly 1,12/24 Default,0,0,0
Night,Fly 2,12/24 Default,566.5556,565.7778,0.77778
Night,Fly 3,12/24 Default,566.5556,565.7778,0.77778
Night,Fly 4,12/24 Default,566.5556,565.7778,0.77778
Night,Fly 5,12/24 Default,566.5556,565.7778,0.77778
Night,Average,12/24 Default,453.2444,452.6222,0.62222
Night,SEM,12/24 Default,113.3111,113.1556,0.15556
