Group,Fly Number,Bin Length,24-hour bin, 1st 12-hour bin, 2nd 12-hour bin
ALAN,Fly 1,12/24 Default,10.5556,9.8889,0.66667
ALAN,Fly 2,12/24 Default,13.2222,12.8889,0.33333
ALAN,Fly 3,12/24 Default,0.11111,0.11111,0
ALAN,Fly 4,12/24 Default,10,8.7778,1.2222
ALAN,Fly 5,12/24 Default,14.3333,12.8889,1.4444
ALAN,Fly 6,12/24 Default,15.8889,14.8889,1
ALAN,Fly 7,12/24 Default,13.6667,12.8889,0.77778
ALAN,Average,12/24 Default,11.1111,10.3333,0.77778
ALAN,SEM,12/24 Default,1.9925,1.8737,0.18937
Day,Fly 1,12/24 Default,0.11111,0.11111,0
Day,Fly 2,12/24 Default,0.11111,0.11111,0
Day,Fly 3,12/24 Default,15.3333,14.4444,0.88889
Day,Fly 4,12/24 Default,14.4444,14.1111,0.33333
Day,Fly 5,12/24 Default,13.6667,12.8889,0.77778
Day,Fly 6,12/24 Default,13.6667,12.8889,0.77778
Day,Average,12/24 Default,9.5556,9.0926,0.46296
Day,SEM,12/24 Default,2.9971,2.8518,0.16584
Night,Fly 1,12/24 Default,0.11111,0.11111,0
Night,Fly 2,12/24 Default,13.6667,12.8889,0.77778
Night,Fly 3,12/24 Default,13.6667,12.8889,0.77778
Night,Fly 4,12/24 Default,13.6667,12.8889,0.77778
Night,Fly 5,12/24 Default,13.6667,12.8889,0.77778
Night,Average,12/24 Default,10.9556,10.3333,0.62222
Night,SEM,12/24 Default,2.7111,2.5556,0.15556
