Group,Fly Number,Bin Length,24-hour bin, 1st 12-hour bin, 2nd 12-hour bin
ALAN,Fly 1,12/24 Default,724.8889,272.1111,481
ALAN,Fly 2,12/24 Default,736.4444,511.7778,241.5556
ALAN,Fly 3,12/24 Default,2400,2400,0
ALAN,Fly 4,12/24 Default,708.6667,13.3333,708.6667
ALAN,Fly 5,12/24 Default,710.8889,31.5556,710.8889
ALAN,Fly 6,12/24 Default,728.3333,110.7778,645.2222
ALAN,Fly 7,12/24 Default,734,183.5556,569.1111
ALAN,Average,12/24 Default,963.3175,503.3016,479.4921
ALAN,SEM,12/24 Default,239.481,322.5609,100.9588
Day,Fly 1,12/24 Default,2400,2400,0
Day,Fly 2,12/24 Default,2400,2400,0
Day,Fly 3,12/24 Default,560.5556,17.4444,558.6667
Day,Fly 4,12/24 Default,806.5556,661.3333,229.8889
Day,Fly 5,12/24 Default,734,183.5556,569.1111
Day,Fly 6,12/24 Default,734,183.5556,569.1111
Day,Average,12/24 Default,1272.5185,974.3148,321.1296
Day,SEM,12/24 Default,358.071,459.3225,114.5988
Night,Fly 1,12/24 Default,2400,2400,0
Night,Fly 2,12/24 Default,734,183.5556,569.1111
Night,Fly 3,12/24 Default,734,183.5556,569.1111
Night,Fly 4,12/24 Default,734,183.5556,569.1111
Night,Fly 5,12/24 Default,734,183.5556,569.1111
Night,Average,12/24 Default,1067.2,626.8444,455.2889
Night,SEM,12/24 Default,333.2,443.2889,113.8222
