Group,Fly Number,Bin Length,24-hour bin, 1st 12-hour bin, 2nd 12-hour bin
ALAN,Fly 1,12/24 Default,86.7218,41.6944,481
ALAN,Fly 2,12/24 Default,75.9154,59.0591,241.5556
ALAN,Fly 3,12/24 Default,2400,2400,0
ALAN,Fly 4,12/24 Default,79.8339,7.386,635.3889
ALAN,Fly 5,12/24 Default,66.8644,13.8375,583.9815
ALAN,Fly 6,12/24 Default,59.7742,19.8001,605.5556
ALAN,Fly 7,12/24 Default,68.2792,20.5731,569.1111
ALAN,Average,12/24 Default,405.3413,366.05,445.2275
ALAN,SEM,12/24 Default,332.4602,339.0582,89.6363
Day,Fly 1,12/24 Default,2400,2400,0
Day,Fly 2,12/24 Default,2400,2400,0
Day,Fly 3,12/24 Default,73.6011,8.0286,519.1667
Day,Fly 4,12/24 Default,129.9769,111.5194,229.8889
Day,Fly 5,12/24 Default,68.2792,20.5731,569.1111
Day,Fly 6,12/24 Default,68.2792,20.5731,569.1111
Day,Average,12/24 Default,856.6894,826.7824,314.5463
Day,SEM,12/24 Default,488.1303,497.7259,112.03
Night,Fly 1,12/24 Default,2400,2400,0
Night,Fly 2,12/24 Default,68.2792,20.5731,569.1111
Night,Fly 3,12/24 Default,68.2792,20.5731,569.1111
Night,Fly 4,12/24 Default,68.2792,20.5731,569.1111
Night,Fly 5,12/24 Default,68.2792,20.5731,569.1111
Night,Average,12/24 Default,534.6234,496.4584,455.2889
Night,SEM,12/24 Default,466.3442,475.8854,113.8222
