Group,Fly Number,Bin Length,24-hour bin, 1st 12-hour bin, 2nd 12-hour bin
ALAN,Fly 1,12/24 Default,16,15,481
ALAN,Fly 2,12/24 Default,9,8.9444,241.5556
ALAN,Fly 3,12/24 Default,2400,2400,0
ALAN,Fly 4,12/24 Default,7.1111,6.5,635.3889
ALAN,Fly 5,12/24 Default,12.3333,11.2222,559.9444
ALAN,Fly 6,12/24 Default,12.4444,11.9444,605.5556
ALAN,Fly 7,12/24 Default,9.0556,8.7222,569.1111
ALAN,Average,12/24 Default,352.2778,351.7619,441.7937
ALAN,SEM,12/24 Default,341.2888,341.3746,88.8123
Day,Fly 1,12/24 Default,2400,2400,0
Day,Fly 2,12/24 Default,2400,2400,0
Day,Fly 3,12/24 Default,46.5556,7.1111,519.1667
Day,Fly 4,12/24 Default,62.0556,50.2222,229.8889
Day,Fly 5,12/24 Default,9.0556,8.7222,569.1111
Day,Fly 6,12/24 Default,9.0556,8.7222,569.1111
Day,Average,12/24 Default,821.1204,812.463,314.5463
Day,SEM,12/24 Default,499.3579,502.0673,112.03
Night,Fly 1,12/24 Default,2400,2400,0
Night,Fly 2,12/24 Default,9.0556,8.7222,569.1111
Night,Fly 3,12/24 Default,9.0556,8.7222,569.1111
Night,Fly 4,12/24 Default,9.0556,8.7222,569.1111
Night,Fly 5,12/24 Default,9.0556,8.7222,569.1111
Night,Average,12/24 Default,487.2444,486.9778,455.2889
Night,SEM,12/24 Default,478.1889,478.2556,113.8222
