Group,Fly Number,Bin Length,24-hour bin, 1st 12-hour bin, 2nd 12-hour bin
ALAN,Fly 1,12/24 Default,879.7778,160.5556,719.2222
ALAN,Fly 2,12/24 Default,889.5556,170.3333,719.2222
ALAN,Fly 3,12/24 Default,1440,720,720
ALAN,Fly 4,12/24 Default,779.5556,67.2222,712.3333
ALAN,Fly 5,12/24 Default,899.3333,186.1111,713.2222
ALAN,Fly 6,12/24 Default,939.8889,222.3333,717.5556
ALAN,Fly 7,12/24 Default,873.4444,154.2222,719.2222
ALAN,Average,12/24 Default,957.3651,240.1111,717.254
ALAN,SEM,12/24 Default,82.5034,81.9394,1.1924
Day,Fly 1,12/24 Default,1440,720,720
Day,Fly 2,12/24 Default,1440,720,720
Day,Fly 3,12/24 Default,683.1111,127.1111,556
Day,Fly 4,12/24 Default,1379,659.3333,719.6667
Day,Fly 5,12/24 Default,873.4444,154.2222,719.2222
Day,Fly 6,12/24 Default,873.4444,154.2222,719.2222
Day,Average,12/24 Default,1114.8333,422.4815,692.3519
Day,SEM,12/24 Default,139.5435,124.4057,27.2707
Night,Fly 1,12/24 Default,1440,720,720
Night,Fly 2,12/24 Default,873.4444,154.2222,719.2222
Night,Fly 3,12/24 Default,873.4444,154.2222,719.2222
Night,Fly 4,12/24 Default,873.4444,154.2222,719.2222
Night,Fly 5,12/24 Default,873.4444,154.2222,719.2222
Night,Average,12/24 Default,986.7556,267.3778,719.3778
Night,SEM,12/24 Default,113.3111,113.1556,0.15556
